archivo,formato,metodo,chars,marcas_juridicas,estado,detalle
C-004-96.rtf,.rtf,striprtf,36750,21,OK,
C-016-98.rtf,.rtf,striprtf,46799,117,OK,
C-029-22.rtf,.rtf,striprtf,155195,90,OK,
C-033-96.rtf,.rtf,striprtf,30611,22,OK,
C-068-99.rtf,.rtf,striprtf,76832,118,OK,
C-081-14.rtf,.rtf,striprtf,49022,45,OK,
C-088-00.rtf,.rtf,striprtf,38745,34,OK,
C-100-19.doc,.doc,libreoffice,42234,63,OK,
C-1008-10.rtf,.rtf,striprtf,70369,86,OK,
C-1123-04.rtf,.rtf,striprtf,36648,59,OK,
C-1141-00.rtf,.rtf,striprtf,77693,30,OK,
C-119-20.docx,.docx,python-docx,190870,143,OK,
C-1194-08.rtf,.rtf,striprtf,39771,99,OK,
C-136-93.rtf,.rtf,striprtf,57700,73,OK,
C-147-97.rtf,.rtf,striprtf,25830,41,OK,
C-150-03.rtf,.rtf,striprtf,460872,177,OK,
C-154-23.docx,.docx,python-docx,96752,75,OK,
C-1641-00.rtf,.rtf,striprtf,81286,53,OK,
C-174-01.rtf,.rtf,striprtf,31355,96,OK,
C-181-05.doc,.doc,libreoffice,46340,56,OK,
C-207-19.docx,.docx,python-docx,379410,590,OK,
C-215-93.rtf,.rtf,striprtf,29464,17,OK,
C-226-09.rtf,.rtf,striprtf,160447,63,OK,
C-227-99.rtf,.rtf,striprtf,63091,26,OK,
C-229-03.rtf,.rtf,striprtf,168408,87,OK,
C-236-14.rtf,.rtf,striprtf,88386,137,OK,
C-248-20.rtf,.rtf,striprtf,196135,122,OK,
C-286-17.rtf,.rtf,striprtf,123266,60,OK,
C-308-17.docx,.docx,python-docx,111959,96,OK,
C-313-13.doc,.doc,libreoffice,153966,81,OK,
C-326-21.rtf,.rtf,striprtf,38366,45,OK,
C-333-96.rtf,.rtf,striprtf,45378,21,OK,
C-343-96.rtf,.rtf,striprtf,36536,28,OK,
C-345-19.rtf,.rtf,striprtf,167136,109,OK,
C-388-08.rtf,.rtf,striprtf,60808,85,OK,
C-399-07.rtf,.rtf,striprtf,47583,57,OK,
C-409-20.rtf,.rtf,striprtf,206655,216,OK,
C-426-23.docx,.docx,python-docx,177431,236,OK,
C-438-17.docx,.docx,python-docx,374128,169,OK,
C-444-09.rtf,.rtf,striprtf,131089,54,OK,
C-460-04.rtf,.rtf,striprtf,93764,55,OK,
C-466-97.rtf,.rtf,striprtf,27445,27,OK,
C-476-07.rtf,.rtf,striprtf,79756,38,OK,
C-478-07.rtf,.rtf,striprtf,41469,44,OK,
C-499-15.rtf,.rtf,striprtf,77375,90,OK,
C-509-14.rtf,.rtf,striprtf,55490,59,OK,
C-517-99.rtf,.rtf,striprtf,62992,83,OK,
C-529-00.rtf,.rtf,striprtf,26553,38,OK,
C-539-10.doc,.doc,libreoffice,84561,91,OK,
C-558-01.rtf,.rtf,striprtf,94687,60,OK,
C-571-17.rtf,.rtf,striprtf,138548,78,OK,
C-573-03.rtf,.rtf,striprtf,57515,31,OK,
C-574-98.rtf,.rtf,striprtf,41250,33,OK,
C-583-15.rtf,.rtf,striprtf,1827006,73,OK,
C-592-12.rtf,.rtf,striprtf,102115,38,OK,
C-598-96.rtf,.rtf,striprtf,14743,39,OK,
C-614-09.rtf,.rtf,striprtf,130032,186,OK,
C-623-99.rtf,.rtf,striprtf,35085,23,OK,
C-628-96.rtf,.rtf,striprtf,25246,17,OK,
C-638-00.rtf,.rtf,striprtf,26336,20,OK,
C-648-02.doc,.doc,libreoffice,42387,49,OK,
C-665-98.rtf,.rtf,striprtf,38545,61,OK,
C-669-15.rtf,.rtf,striprtf,98818,34,OK,
C-670-04.rtf,.rtf,striprtf,135018,219,OK,
C-674-99.rtf,.rtf,striprtf,143185,70,OK,
C-726-09.rtf,.rtf,striprtf,77670,45,OK,
C-749-09.rtf,.rtf,striprtf,106823,37,OK,
C-783-01.rtf,.rtf,striprtf,17591,27,OK,
C-786-04.rtf,.rtf,striprtf,38368,64,OK,
C-830-10.rtf,.rtf,striprtf,201120,65,OK,
C-886-10.rtf,.rtf,striprtf,217435,259,OK,
C-892-01.rtf,.rtf,striprtf,92402,81,OK,
C-909-12.rtf,.rtf,striprtf,156259,56,OK,
C-924-07.rtf,.rtf,striprtf,74477,162,OK,
C-960-07.rtf,.rtf,striprtf,52357,81,OK,
C-964-99.rtf,.rtf,striprtf,93368,58,OK,
C-965-03.rtf,.rtf,striprtf,151961,101,OK,
C-973-02.rtf,.rtf,striprtf,140789,62,OK,
SU-029-24.docx,.docx,python-docx,307408,259,OK,
SU-058-03.rtf,.rtf,striprtf,110121,191,OK,
SU-081-20.docx,.docx,python-docx,499795,376,OK,
SU-088-25.docx,.docx,python-docx,361856,253,OK,
SU-091-00.rtf,.rtf,striprtf,85185,137,OK,
