archivo,metodo,paginas,chars,marcas_juridicas,estado,detalle,segundos
11001_3103_009_2000_09221_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_fe_227791_número_de_pr.pdf,nativo,50,77016,185,OK,,0.3
11001_3103_032_2001_00847_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_su_227895_número_de_pr.pdf,nativo,51,94275,307,OK,,0.3
ac054_2021_clase_de_actuación_incidente_de_nulidad_tipo_de_providencia_auto_fecha_21_01_2021_ponente_720003_número_de_pr.pdf,nativo,16,21230,30,OK,,0.1
ac1600_2017_clase_de_actuación_recurso_de_queja_tipo_de_providencia_auto_fecha_15_03_2017_ponente_ál_534450_número_de_pr.pdf,nativo,14,15065,6,OK,,0.1
11001_3103_032_2002_00083_01_clase_de_actuación_recurso_de_casacion_tipo_de_providencia_sentencia_su_227890_número_de_pr.pdf,nativo,46,84218,165,OK,,0.2
ac1605_2017_clase_de_actuación_conflicto_de_competencia_tipo_de_providencia_auto_fecha_15_03_2017_po_535233_número_de_pr.pdf,nativo,6,6264,1,SOSPECHOSO,"6264 chars, 1 marcas",0.0
ac3347_2020_clase_de_actuación_recurso_de_queja_tipo_de_providencia_auto_fecha_07_12_2020_ponente_ar_716856_número_de_pr.pdf,nativo,14,19706,22,OK,,0.1
ac3596_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_auto_fecha_15_12_2020_ponente_717888_número_de_pr.pdf,nativo,19,24369,50,OK,,0.1
ac280_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_auto_fecha_08_02_2021_ponente__717488_número_de_pr.pdf,nativo,24,30988,54,OK,,0.3
ac4858_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_auto_fecha_02_08_2017_ponente_554769_número_de_pr.pdf,nativo,98,123761,41,OK,,0.2
obligaciones_a_plazo.pdf,nativo,59,104695,159,OK,,0.3
sc002_2018_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_12_01_2018_pon_621111_número_de_pr.pdf,nativo,79,182453,25,OK,,0.3
sc003_2018_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_12_01_2018_pon_620620_número_de_pr.pdf,nativo,42,60480,12,OK,,0.2
sc010_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_21_01_2021_pon_720034_número_de_pr.pdf,nativo,32,50819,44,OK,,0.2
sc041_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_09_02_2022_pon_757329_número_de_pr.pdf,nativo,34,48535,78,OK,,0.2
sc003_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_01_2021_pon_719173_número_de_pr.pdf,nativo,98,162375,116,OK,,0.5
sc048_2023_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_29_03_2023_pon_800857_número_de_pr.pdf,nativo,61,97696,121,OK,,0.2
sc10291_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_07_2017_p_542490_número_de_pr.pdf,nativo,28,39007,47,OK,,0.1
sc042_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_07_02_2022_pon_758076_número_de_pr.pdf,nativo,157,266892,223,OK,,0.6
sc1043_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_05_04_2021_po_726450_número_de_pr.pdf,nativo,72,106176,72,OK,,0.5
sc1084_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_05_04_2021_po_726585_número_de_pr.pdf,nativo,36,52206,58,OK,,0.4
sc1170_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_22_04_2022_po_766135_número_de_pr.pdf,nativo,34,58322,101,OK,,0.2
sc11287_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_sentencia_sustitut_494408_número_de_pr.pdf,nativo,68,82104,24,OK,,0.3
sc11786_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_08_2016_p_502964_número_de_pr.pdf,nativo,66,65093,21,OK,,0.2
sc1171_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_08_04_2022_po_765134_número_de_pr.pdf,nativo,67,110376,72,OK,,0.6
sc1225_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_02_06_2022_po_770900_número_de_pr.pdf,nativo,117,188154,139,OK,,0.5
sc12743_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_24_08_2017_p_545687_número_de_pr.pdf,nativo,75,102715,37,OK,,0.2
sc1256_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_27_05_2022_po_771078_número_de_pr.pdf,nativo,126,202842,97,OK,,0.4
sc13630_2015_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_07_10_2015_p_446604_número_de_pr.pdf,nativo,108,160171,37,OK,,0.6
sc15339_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_28_09_2017_p_556621_número_de_pr.pdf,nativo,32,46981,1,SOSPECHOSO,"46981 chars, 1 marcas",0.1
sc13925_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_30_09_2016_p_513470_número_de_pr.pdf,nativo,192,309610,34,OK,,0.6
sc15996_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_sustitutiva_fecha__522327_número_de_pr.pdf,nativo,60,82026,14,OK,,0.3
sc16690_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_sustitutiva_fecha__517513_número_de_pr.pdf,nativo,94,98082,1,SOSPECHOSO,"98082 chars, 1 marcas",0.3
sc17161_2015_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_14_12_2015_p_465876_número_de_pr.pdf,nativo,22,44109,12,OK,,0.4
sc17096_2015_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_11_12_2015_p_465871_número_de_pr.pdf,nativo,43,98388,34,OK,,0.7
sc17723_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_07_12_2016_p_523013_número_de_pr.pdf,nativo,66,89253,19,OK,,0.3
sc1815_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_02_2017_po_527564_número_de_pr.pdf,nativo,80,114002,9,OK,,0.3
sc18614_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_19_12_2016_p_524597_número_de_pr.pdf,nativo,68,93115,13,OK,,0.4
sc1929_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_26_05_2021_po_731641_número_de_pr.pdf,nativo,24,34272,29,OK,,0.2
sc18146_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_12_2016_p_523244_número_de_pr.pdf,nativo,90,127574,37,OK,,1.0
sc19903_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_29_11_2017_p_591610_número_de_pr.pdf,nativo,60,98506,38,OK,,0.1
sc1947_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_30_06_2022_po_773266_número_de_pr.pdf,nativo,62,109249,48,OK,,0.3
sc2068_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_22_02_2016_po_471330_número_de_pr.pdf,nativo,32,64045,14,OK,,0.2
sc2107_2018_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_12_06_2018_po_634132_número_de_pr.pdf,nativo,71,80169,8,OK,,0.4
sc21801_2017_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_12_2017_p_613875_número_de_pr.pdf,nativo,85,134976,57,OK,,0.5
sc2202_2019_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_20_06_2019_po_667855_número_de_pr.pdf,nativo,69,174329,63,OK,,0.5
sc2362_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_13_07_2022_po_774441_número_de_pr.pdf,nativo,33,50176,48,OK,,0.3
sc2506_2016_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_02_03_2016_po_471839_número_de_pr.pdf,nativo,58,129921,11,OK,,1.0
sc2582_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_27_07_2020_po_700621_número_de_pr.pdf,nativo,140,212195,118,OK,,1.2
sc2719_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_01_09_2022_po_779281_número_de_pr.pdf,nativo,129,206423,181,OK,,0.7
sc282_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_02_2021_pon_721538_número_de_pr.pdf,nativo,62,90294,108,OK,,0.5
sc2850_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_25_10_2022_po_784543_número_de_pr.pdf,nativo,148,222904,177,OK,,0.5
sc2879_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_27_09_2022_po_781082_número_de_pr.pdf,nativo,129,221116,249,OK,,0.5
sc2905_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_29_07_2021_po_738974_número_de_pr.pdf,nativo,59,90528,115,OK,,0.2
sc2906_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_29_07_2021_po_739039_número_de_pr.pdf,nativo,61,92494,45,OK,,0.2
sc2930_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_14_07_2021_po_736862_número_de_pr.pdf,nativo,31,45939,35,OK,,0.2
sc292_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_02_2021_pon_721535_número_de_pr.pdf,nativo,62,103003,46,OK,,0.5
sc3159_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_30_09_2022_po_781497_número_de_pr.pdf,nativo,56,88249,63,OK,,0.2
sc295_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_15_02_2021_pon_721536_número_de_pr.pdf,nativo,51,80034,69,OK,,0.4
sc3194_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_08_2021_po_741005_número_de_pr.pdf,nativo,54,86839,55,OK,,0.2
sc3179_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_28_07_2021_po_738751_número_de_pr.pdf,nativo,101,156051,82,OK,,0.7
sc3273_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_07_09_2020_po_706877_número_de_pr.pdf,nativo,54,90224,142,OK,,0.5
sc3346_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_14_09_2020_po_707692_número_de_pr.pdf,nativo,40,58099,50,OK,,0.2
sc3375_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_01_09_2021_po_742707_número_de_pr.pdf,nativo,55,89560,151,OK,,0.2
sc3460_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_08_2021_po_741106_número_de_pr.pdf,nativo,68,119382,47,OK,,0.3
sc3462_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_08_2021_po_741109_número_de_pr.pdf,nativo,79,136191,62,OK,,0.3
sc3467_2020_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_21_09_2020_po_708342_número_de_pr.pdf,nativo,33,50792,56,OK,,0.1
sc3535_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_18_08_2021_po_741084_número_de_pr.pdf,nativo,31,53874,55,OK,,0.1
sc3627_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_02_11_2021_po_744547_número_de_pr.pdf,nativo,78,123957,69,OK,,0.3
sc3654_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_25_08_2021_po_741815_número_de_pr.pdf,nativo,39,59687,64,OK,,0.2
sc3663_2022_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_22_11_2022_po_788788_número_de_pr.pdf,nativo,48,79175,101,OK,,0.3
sc3674_2021_clase_de_actuación_recurso_de_casación_tipo_de_providencia_sentencia_fecha_25_08_2021_po_741820_número_de_pr.pdf,nativo,24,36550,89,OK,,0.2
