Experto,Sistema,Dimension,n,media,mediana,desviacion_estandar,minimo,maximo
Aristizabal,Agente_CoT_CoV,Complejidad,117,3.188,3.0,0.694,1,5
Aristizabal,Agente_CoT_CoV,Consistencia_Silogistica,117,3.932,4.0,0.537,2,5
Aristizabal,Agente_CoT_CoV,Fidelidad_Juridica,117,3.915,4.0,0.535,2,5
Aristizabal,RAG_Base,Complejidad,62,2.661,3.0,0.676,1,4
Aristizabal,RAG_Base,Consistencia_Silogistica,62,2.823,3.0,0.529,2,4
Aristizabal,RAG_Base,Fidelidad_Juridica,62,3.968,4.0,0.572,3,5
Franco,Agente_CoT_CoV,Complejidad,117,3.171,3.0,0.735,1,5
Franco,Agente_CoT_CoV,Consistencia_Silogistica,117,3.932,4.0,0.537,2,5
Franco,Agente_CoT_CoV,Fidelidad_Juridica,117,3.915,4.0,0.535,2,5
Franco,RAG_Base,Complejidad,62,2.645,3.0,0.68,1,4
Franco,RAG_Base,Consistencia_Silogistica,62,2.742,3.0,0.599,1,4
Franco,RAG_Base,Fidelidad_Juridica,62,3.968,4.0,0.572,3,5
Gonzalez,Agente_CoT_CoV,Complejidad,117,3.325,3.0,0.764,1,5
Gonzalez,Agente_CoT_CoV,Consistencia_Silogistica,117,4.103,4.0,0.781,2,5
Gonzalez,Agente_CoT_CoV,Fidelidad_Juridica,117,4.282,4.0,0.764,1,5
Gonzalez,RAG_Base,Complejidad,62,2.645,3.0,0.726,1,4
Gonzalez,RAG_Base,Consistencia_Silogistica,62,2.871,3.0,0.713,1,4
Gonzalez,RAG_Base,Fidelidad_Juridica,62,3.887,4.0,0.68,1,5
