Sistema,Dimension,Experto_A,Experto_B,N_preguntas,Kappa_ponderado_cuadratico
RAG_Base,Consistencia_Silogistica,Aristizabal,Franco,62,0.8728
RAG_Base,Consistencia_Silogistica,Aristizabal,Gonzalez,62,0.6055
RAG_Base,Consistencia_Silogistica,Franco,Gonzalez,62,0.6659
RAG_Base,Fidelidad_Juridica,Aristizabal,Franco,62,1.0
RAG_Base,Fidelidad_Juridica,Aristizabal,Gonzalez,62,0.7249
RAG_Base,Fidelidad_Juridica,Franco,Gonzalez,62,0.7249
RAG_Base,Complejidad,Aristizabal,Franco,62,0.9822
RAG_Base,Complejidad,Aristizabal,Gonzalez,62,0.9501
RAG_Base,Complejidad,Franco,Gonzalez,62,0.9338
Agente_CoT_CoV,Consistencia_Silogistica,Aristizabal,Franco,117,1.0
Agente_CoT_CoV,Consistencia_Silogistica,Aristizabal,Gonzalez,117,0.6098
Agente_CoT_CoV,Consistencia_Silogistica,Franco,Gonzalez,117,0.6098
Agente_CoT_CoV,Fidelidad_Juridica,Aristizabal,Franco,117,1.0
Agente_CoT_CoV,Fidelidad_Juridica,Aristizabal,Gonzalez,117,0.237
Agente_CoT_CoV,Fidelidad_Juridica,Franco,Gonzalez,117,0.237
Agente_CoT_CoV,Complejidad,Aristizabal,Franco,117,0.9831
Agente_CoT_CoV,Complejidad,Aristizabal,Gonzalez,117,0.6659
Agente_CoT_CoV,Complejidad,Franco,Gonzalez,117,0.6842
